,tweets,labels
33,"de elogio transversal del encuentro , del abrazo , del brindis y hasta el villancico , frente a la digitalización de las relaciones sociales al servicio de la economía de la atención , que nos expropia nuestro bien más preciado .",2
34,"@ user `` progreso '' hacia el precipicio.🤦🏻 . y sin embargo , en parte acierta : disputar y redefinir ( y hacerse con ) la idea de progreso es clave para el ecologismo político . sigue siendo su talón de aquiles discursivo , por más que se esfuerza en guarnecerlo .",2
35,"quienes hoy denigráis a lucía méndez como si fuera una especie de `` militante anti-podemita '' , ¿no os acordáis de cuando pablo iglesias recomendaba sus análisis , le daba entrevistas clave y la invitaba a sus tertulias ? ¡qué poca memoria y qué cambio de cultura mediática en podemos !",2
36,"ha sido un privilegio dirigir esta tesis . he disfrutado y aprendido mucho , y hemos trabado una relación académica para toda la vida . gracias a los profesores @ user rodrigo castro ( @ user ) , @ user y luis nitrihual ( @ user ) , por sus apreciaciones .",2
37,"no olvidemos que la última vez que iglesias se presentó a elecciones como candidato en 2021 , [ politician ] le adelantó en más de 350 mil votos , y él se retiró diciendo `` no contribuyo a sumar… no soy una figura que pueda contribuir a ganar '' . que igual no se equivocaba .",2
38,@ user de los `` cuidados '' decía yo . pero también . un abrazo .,2
39,"la fiesta de la navidad puede vivirse de muchas maneras . sé que muchos , en ese espacio simbólico que llamamos izquierda , no pueden evitar vivirlo como imposición cínica , `` falsa '' , consumista , de carácter patriarcal , religioso y colonial .. 'hilillo ' va ... 🧵",2
40,"la superliga es el lobo , que hoy se disfraza de abuelita para intentar engañar al fútbol europeo , pero su nariz y sus dientes son muy grandes , ¿cuatro divisiones en europa ? claro la primera para ellos , como en la reforma de 2019.¿gobierno de los clubes ? claro solo de los grandes",3
41,"esto pasa cuando los tan repetidos valores son de `` boquilla '' , `` bien queda '' `` cosméticos '' ... y no se cree en ellos .",3
42,resumen de las mejores `` jugadas '' de la primera jornada de la liga genuine santander celebrada en tarragona . gracias @ user 🙏 . gracias @ user por acogernos🙏gracias a los 300 voluntarios🙏 . a todos 🙏 . ¡compartir antes que competir ! . [ hashtag ] 👇,3
43,"intensas jornadas de trabajo , estuvimos con el ministro de economía de eau🇦🇪 organizador de investopia , con el jefe de gobierno del emirato de sharjah . firmamos un gran acuerdo galaxy rider . celebramos por primera vez una asamblea general de la @ user fuera de españa . etc 👇👌",3
44,"oberva estos datos @ user encontrarás respuestas a muchas preguntas que te haces . hay que informarse , estudiar , reflexionar ... sacar conclusiónes y actuar . en temas tan serios e importantes para todos los clubes una actuación por impulsos lleva a la ruina a todos . 🤦🤦",3
45,la rfef saca un comunicado en el que no niegan haberme espiado con micros ocultos utilizando como agentes a sus propios directivos . su preocupación tiene más que ver con el mundial 2030 . surrealista . ( 4 ),3
46,"23 días han pasado desde que fuí grabado por @ user 🤦‍♂️ siguiendo intrucciones de rubi 🤒 ( alias la grabadora ) , ¿hasta cuándo este `` futbol policial '' ? interesante lectura 👇 . gerardo gonzález otero : `` garcía caba miente , la reunión con tebas la pidió él ''",3
47,"esta es la realidad , pese a que a alguno le duela . 👇👇👇",3
48,"rubialejo hoy en @ user sobre cvc oculta que ya hay 2 informes de la abogacía del estado , el último 1-7-2022 , que señala que la operación es legal , olvida que 38 clubes profesionales están de acuerdo ... claro con tantas reuniones/barbacoa con `` amigas '' , no los ha debido leer . 🤦",3
49,"la no exclusividad , es también un modelo en la explotación de contenidos deportivos y puede marcar la tendencia a medio plazo . buscando el momento y mercados adecuados . 👇👇 . amazon entra en laliga smartbank , que transmitirán al menos 10 operadores .",3
50,"decían que eramos unos delincuentes e irresponsables por la operación con cvc .. parece que la industria del fútbol se llena de delincuentes e irresponsables 😎 ( ironía ) . inversiones por todos los clubes en infraestructura , digitalización ... es el camino💪 .",3
51,here we go ! 🧤🚀 con fuerza y motivación a por lo que viene ⚡💪🏼,3
52,"las medidas cautelarisimas que se han tomado contra @ user se toman sin oír a la @ user nos opendremos a las mismas en el procedimiento , esperemos el final 👇 . nota informativa de laliga ante el comunicado del fc barcelona sobre la inscripción de gavi .",3
53,"el pte de la rfef `` rubí '' , graba ministros , secretarios de estado , pte de laliga , pone espías al pte del sindicato afe , a periodistas , viaja con novia , hace `` trampas '' en comisiones ... ¿hasta cuando la pasividad del `` policia '' ? ¿quién será el próximo espiado ?",3
54,lo de al-khelaifi es otro nivel . nos toma a todos por tontos ( ni él se cree sus mentiras ) y se presenta en @ user a dar lecciones con soberbia y arrogancia de `` nuevo rico '' . las normas no existen para el @ user . seguiremos luchando por un fútbol sostenible y sin trampas .,3
55,hacen que nos acostumbremos y parezca fácil pero lo que hacen nuestros clubes en europa es historia . ¡gracias @ user y @ user por llevar el fútbol español a lo más alto ! ¡y enhorabuena al @ user por la clasificación a la final de la ! impresionante .,3
56,¡feliz día de nuestra fiesta nacional ! . ¡feliz día de la hispanidad ! . ¡feliz día de la virgen del pilar ! . ¡feliz día de la guardia civil ! . ¡orgullosos de nuestra historia y tradiciones ! . ¡viva españa !,3
57,"muy llamativas las declaraciones que cita hoy @ user en @ user ⬇️ . lo que la justicia les deniega y el resto de clubes les rechaza , lo intentan conseguir con lobbismo rancio impropio de esta época . ya lo dijimos , es increíble el poder de una persona ( o de un palco ) .",3
58,nuestro campeón de @ user se corona en europa . toda esta [ hashtag ] habéis simbolizado la integridad y la historia en momentos difíciles para el fútbol .. ¡¡¡gracias y enhorabuena @ user ! ! !,3
59,"estadio de la cerámica renovado en tiempo récord con una inversión de 50m de euros fruto del plan impulso/cvc , el @ user se hace más grande y hace más grande a la competición de @ user todos los clubes tienen derecho a tener modernos estadios 👍 .",3
60,"estimado @ user , te paso los datos del raparto de tv del @ user comparado con clubes de la @ user sois perfectamente competitivos , @ user ingresa menos , y vosotros como los grandes de la @ user . hay que informarse antes de `` rajar '' . 👇👇",3
61,"florentino pérez a @ user `` no podemos permitir que los jóvenes amen cada vez menos el fútbol porque los partidos que ofrecemos son menos atractivos '' por favor 🙏 , que alguien le diga a este hombre que eso es una fakenews , de tanto repetir una mentira se la acaban creyendo👇",3
62,"acertadisima apreciación de @ user ( ex directora general del csd , ex alto cargo de la rfef con funciones de integridad en la época de rubiales ... ) sobre la decisión de hoy del presidente @ user de no abrir expediente a rubiales por prejudicialidad penal.👇👇👍👍",3
63,"comenzamos una nueva temporada , de la liga de las auténticas estrellas y valores . 44 clubes 💪💪 .",3
64,"una pena que tras semejante operativo de espionaje con detectives y bolis-grabadora , rubiales no deje a inda publicar toda la conversación del sábado con @ user hablando de supercopa , ny , [ politician ] magro , córdoba , fuenlabrada , aganzo , vivienda o autoridades públicas espiadas",3
65,"para escribir este artículo o los autores no se han leído todos los acuerdos con cvc u ocultan intencionadamente parte del mismo . por cierto uno de ellos reconocido madridista . ni discriminación con los futuros clubes , ni problemas de integridad.🤔 . el país .",3
66,"circula en las redes una declaraciones mías del 15-1- 2019 en el @ user las mismas están sesgadas , no reflejan el sentido de mi intervención.los jugadores paran al final del partido y hablan sobre el partido , los otros temas son para rueda de prensa si el jugador desea👇",3
67,el proyecto [ hashtag ] avanza permitiendo adelantar décadas el crecimiento de la competición y de los clubes .,3
68,"si el `` avestruz '' es también el `` policia '' , este se convierte en encubridor.¿tendrá rubiallejo más grabaciones de sus reuniones de alto nivel ? 🤦 . el 'gobierno avestruz ' en la guerra rubiales-tebas : `` los presidentes de club callamos por miedo a los árbitros '' .",3
69,"en el [ hashtag ] hemos hablado de fútbol y economía junto a @ user patricia rodríguez , @ user jaume roures y @ user . son muchos los retos de la industria del fútbol y es importante que las decisiones políticas no perjudiquen este sector clave",3
70,hoy ha finalizado el juicio por el caso jimmy . @ user ha solicitado la reapertura del procedimiento separado por el homicidio de jimmy con la imputación de cuatro acusados . más información en el canal de telegram de @ user 👇👇 .,3
71,"un artista que revolucionó las retransmisiones taurinas y del deporte sobre todo el fútbol . sobre el albero de las plazas de toros y sobre el césped de los campos de fútbol , victor santamaria ha dejado auténticas obras de arte . gracias por tanto . .",3
72,"algunos no saben el daño económico que harán al fútbol nacional , para `` beneficiar '' a dos.¿por qué solo escuchan y creen al de siempre ? así nos va .. [ political_party ] y [ political_party ] retiran su ‘ amenaza ’ al madrid cuatro días antes del anuncio clave de florentino sobre la superliga",3
73,"para solucionar un problema sobre la interpretación de las manos , la primera máxima es saber que existe . pérez burrul ( ex arbitro @ user ) , iturralde ( ex arbitro @ user . ) , @ user ( jugador @ user . ) , @ user y otros ¿no saben nada ? 🤔🤔 .",3
74,empezamos a reflexionar con sentido de una de las consecuencias de la superliga . 👇👇 .,3
75,se traspasa bar con licencia de apertura hasta las 5 am . tiene una barra ideal para tertulianos con ideas disparatadas .,3
76,"en españa , esto suena a prehistoria , con una diferencia , no hubo ley ni nada similar , la deuda del fútbol profesional con el estado en el 2013 era de más de 700 millones de euros con autogestion de los clubes se pagó . durante el covid no se generó nada . .",3
77,"¡¡enhorabuena a aficionados , jugadores , directivos y todos los estamentos del @ user y el @ user ! ! . bienvenidos de nuevo a la máxima categoría de la mejor liga del mundo .",3
78,laliga le gana el ‘ partido ’ a roja directa : 2 años de prisión y 500.000 euros de multa por piratería via @ user,3
79,"laliga crece en eeuu🇺🇲 . un mercado estratégico , exigente y lleno de oportunidades ⬇️",3
80,"@ user ahora diga que yo critiqué esa afirmación y esos datos . ande . atrévase , `` gentuza mentirosa '' .",1
81,un difícil escenario energético y una respuesta equivocada . lean a @ user .,1
82,"la inflación , el impuesto de los pobres . hacienda aspira a recaudar 18.700 millones más en 2023 con una inflación del 5,7 % y pese al frenazo del pib",1
83,"los fabricantes de coches eléctricos , abocados a comprar minas de litio .",1
84,@ user ninguna de esas cosas son causas de la inflación . la inflación es la pérdida de poder adquisitivo de la moneda . los precios no suben todos a la vez si la cantidad de dinero es la misma .,1
85,"según bloomberg economics , los demócratas podrían perder 29 escaños en el congreso de eeuu por la situación económica . interesante análisis .",1
86,la patronal catalana impulsa un recurso de inconstitucionalidad contra el impuesto a las grandes fortunas . también reclama al gobierno « respeto » hacia el empresariado y « prudencia » en sus manifestaciones públicas .,1
87,un tercio de los contratos `` indefinidos '' firmados tras la reforma laboral de [ politician ] son `` fijos discontinuos '' .,1
88,@ user aquí tienes lo que ha dicho de verdad y sin cortes .,1
89,hay una “ falta de información sistemática '' en la ejecución de los fondos europeos por parte del gobierno . fmi .,1
90,"@ user ladrones , dejen de robar . traficantes , dejen de traficar . asesinos , dejen de asesinar . torturadores , dejen de torturar . se lo dice el ministerio de igualdad .",1
91,cristina fernández de kirchner ejemplo de `` lucha contra los poderosos '' según podemos . fascinante .,1
92,la seguridad social solo sumó cinco nuevos autónomos en 2022 y cerraron 20.000 pequeños comercios .,1
93,"el retroceso del paro es muy débil ( -0,92 % mensual ) . los indicios apuntan a que la destrucción de empleo de carácter cíclico ( post-verano ) se adelantó a septiembre y en octubre se ha normalizado . entre los jóvenes el paro sube un 0,88 % .",1
94,mañana a las 8am estaré de nuevo en cnbc para comentar las perspectivas macro y de mercados .,1
95,el banco de españa desmonta con datos el relato de la acumulación de beneficios extraordinarios por parte de las empresas .,1
96,"hablamos de monedas digitales de bancos centrales , mercados , frenazo de china y estancamiento en españa a pesar del mayor estímulo de la historia . economix . con @ user . @ user . @ user .",1
97,"@ user modere su obsesión anal . seis millones de parados por las maravillosas políticas [ political_party ] , gracias por recordarlo ,",1
98,"el consumo de gas natural en europa cae un 12 % por debajo de los niveles típicos de diciembre y sigue cayendo en enero .. las importaciones de gnl alcanzan nuevo récord , disparando los inventarios . gracias a ello , el precio 2023-24 se queda en €64/mwh . via morgan stanley",1
99,el gobierno libera de su impuesto a la banca a medio centenar de entidades extranjeras . [ political_party ] y podemos pactan con el [ political_party ] no aplicarlo a entidades supervisadas por el bce que no ingresen más de 800 millones por comisiones e intereses en españa .,1
100,"@ user dios de mi vida . `` si el porcentaje de grasas de un alimento pasa de 5 % a 12 % , el incremento es de 7 % '' [ politician ] . y si pasa de 1 % a 2 % es un aumento de 1 % , claro 🙄",1
101,cinco claves económicas destacadas en el momento actual . @ user .,1
102,"los mismos que hicieron una campaña injusta contra el ine por el cálculo del ipc ahora dicen que es perfecto . los mismos . el cálculo es y era correcto . solo el cambio de política hace complicada la comparación equivalente . por eso se analiza más la subyacente ( 6,2 % )",1
103,"sí . los bancos centrales tienen que subir tipos y reducir el balance más , porque es mejor un mal año tras excesos encadenados que varios años de estanflación .",1
104,"la estadística de desempleo de noviembre no refleja al menos a otros 90.000 parados 'fantasma ' . randstad , asempleo , ceoe y cepyme denuncian también que las cifras de paro `` no son realistas '' .",1
105,"@ user como decir que `` stalin no mató a nadie . cientos de soldados , sí ''",1
106,"`` hacienda seguirá asfixiando a los contribuyentes con sus impuestos habituales , volverá a incrementar los que había bajado por la crisis energética e implantará algunos nuevos. '' . @ user .",1
107,¿cómo puede [ hashtag ] tener diez tipos ce cambio contra el dólar ? la respuesta es sencilla . todos esos tipos impuestos por el gobierno son formas de expropiación de la riqueza para confiscar los dólares de los exportadores y ciudadanos .,1
108,"el fiasco del 'sí es sí ' tumba la estrategia de [ politician ] de presentar sus leyes como argumento electoral . el gobierno sufre en temas en los que se creía más fuerte : feminismo , migración y derechos , cataluña ( sedición ) y corrupción . por @ user .",1
109,mañana estaré en el especial fin de año que organiza @ user con muchos invitados más .. 💥 30 de diciembre desde las 16:00 hasta las 22:00 . ¡te esperamos ! .,1
110,las monedas digitales de los bancos centrales son un peligroso experimento . aquí explico por qué .,1
111,[ politician ] cambia la estadística de empleo ante el parón del mercado laboral .,1
112,@ user hay dos . de septiembre y de 2022 . de nada . si a usted le parece que 11.000 okupaciones es poco ...,1
113,es como decir que engordar 9 kilos tras engordar 4 es adelgazar ...,1
114,"@ user hace tiempo que se dedica usted a desinformar . yo puse una noticia al ser publicada con su fuente y está borrada al confirmarse que era errónea . ojalá hiciera eso usted una sola vez . podría haberlo mencionado , pero usted a lo que se dedica es a la destrucción de carácter , triste .",1
115,"el expolio , lo primero . cuánto se queda hacienda de los premios de la lotería de navidad : los impuestos de cada premio .",1
116,`` imprimiendo dinero para el pueblo '' . los bancos de [ hashtag ] no tienen suficiente espacio para almacenar pesos cada vez más devaluados .,1
117,"en el máximo reciente de coste de fletes y materias primas el ipc en españa era 5 % subyacente 3,3 % . tras disparar la cantidad de dinero en 2020 cuatro veces más que en el bazooka de draghi y con tipos negativos , 6,3 % subyacente . pero no es un factor monetario porque patatas .",1
118,una estrategia de transición energética equivocada . lean @ user en @ user .,1
119,"@ user léase el hilo del tweet que citan , que no duele ....",1
120,"3 . las cuentas de twitter de la derecha y la ultraderecha compartieron la noticia falsa . pero la clave de que el bulo funcionara fue que la mayoría de los medios informaron de las reacciones , dando por bueno el bulo ¿es esto ético ? vean esta escena👇🏻 .",2
121,cuando dije que felipe gonzález tenía las manos manchadas de cal viva el periodismo corrupto puso el grito en el cielo . barrionuevo reconoce en el país que era un jefe de los gal y el periodismo corrupto calla…,2
122,"mi análisis de las facha wars en 3 ( spoiler : ojo con reírse , si están en guerra es porque están fuertes ) 👇",2
123,"tuvimos que cambiar de guardería a nuestros bebés porque un sicario de inda les acosó . jamás has criticado su presencia en la sexta . lamento que te insulten en twitter y ojalá nunca te hagan lo que nos hicieron , pero puedes meterte tu hipocresía donde te quepa",2
124,voy a volver a llamar a mi colega vladímir a ver si se estira y pone unos rublos en @ user 🤔,2
125,"“ un [ political_party ] experto frente a un podemos inexperto . la intervención torpe de llop y la delirante de su asesor torcieron esa estrategia . ambas ponían en cuestión el espíritu de la ley , basada en el consentimiento : sólo sí es sí ” . [ politician ] sobre el fracaso del relato del [ political_party ]",2
126,¿qué puede ganar europa con la ampliación de la otan y la tensión con rusia ? lo comenté en @ user 👇🏾,2
127,"la mayoría de las agresiones sexuales no dejan lesiones físicas visibles . no lo digo yo , lo dice la macroencuesta de violencia contra la mujer 👇🏻",2
128,"hay correlaciones de fuerzas y correlaciones de debilidades y lo que dice y prescribe aquí @ user no solo es sensato , también es de ser buena gente .",2
129,los monárquicos quieren que los españoles debatamos de si hay que reformar la monarquía . pero el debate es qué es lo mejor para españa : monarquía o república 👇🏻,2
130,juan carlos i ha recibido por parte de la justicia el mismo trato que cualquier ciudadano . quien lo niegue es un bolivariano y un amigo de putin . [ hashtag ] . 📺 youtube : 📻 spotify :,2
131,ya que telegram es tt ( y eso no es poca cosa vista la tensión mediática-bélica ) os recuerdo que podéis seguir a @ user en telegram . sí sí en telegram . y ya os digo que putin de momento no nos sigue 👇🏻 .,2
132,si [ politician ] pacta con el [ political_party ] volver al código penal que permitió la sentencia de la manada cometerá un error que pagará caro,2
133,lo que hizo zelenski en el congreso de los diputados tiene una fuerza ideológica bestial . ha puesto a españa a discutir sobre la guerra civil para favorecer sus difíciles objetivos políticos y militares .. escribo en @ user 👇🏻 .,2
134,yo no pretendo dar lecciones a nadie señor . solo hago un podcast y doy mi opinión escribiendo donde me dejan . usted escribe en un periódico franquista como abc y en un tabloide financiado por millonarios venezolanos . le deberían hacer a usted catedrático de periodismo por eso,2
135,"hoy @ user escribe muy barroco . permítanme que intente una traducción de su mensaje al ruso-chino : o el presidente sacrifica al [ political_party ] caoba ( cae la dama , perestroika ) o todo será caos bajo las estrellas .",2
136,que el periódico conservador más importante de chile dedique un editorial al debate que tuvimos allí sobre la necesidad de democratizar el poder mediático revela la importancia política del asunto . obviamente el mercurio no desea la democratización ; por eso van tirando línea,2
137,"el neoliberalismo es un disparate como conjunto de políticas públicas , pero su fuerza ideológica sigue siendo arrolladora 👇🏻",2
138,"paradojas de la vida… antonio garcía ferreras le puso voz a ben bradlee en un podcast sobre el watergate hace un tiempo . es como si villarejo le pusiera voz a hank schrader , el cuñado de walter white en breaking bad…",2
139,juzgan a un tipo por acosar a nuestros hijos pequeños ( la fiscalía pide un año de cárcel ) y la agencia pública de prensa habla de “ juicio podemos ” y lo ilustra con una foto en la que salimos riéndonos . es alucinante la falta de escrúpulos,2
140,@ user yo me dedicaría a deconstruirle la paella al capitán del bígaro… en persona perdemos mucho,2
141,¿qué deberían hacer el [ political_party ] y [ political_party ] para volver a gobernar ? ¿qué debería hacer la progresía mediática ? aquí doy mi opinión 👇🏻,2
142,"si compras los marcos de la derecha , arrasa la derecha . lo del chuletón al punto y las cosas que dicen page y lambán son precisamente eso . aquí lo intento explicar 👇🏻",2
143,1973 . la federación soviética dijo que sus futbolistas no podían jugar en el estadio de santiago “ salpicado con sangre de patriotas chilenos '' . la fifa dijo que o jugaban o perdían . no jugaron pero dieron una lección moral a muchas supuestas democracias .,2
144,"lo que hemos visto en lorca es el resultado de la estrategia de la derecha política y mediática . lanzan un bulo , los medios se hacen eco y los líderes de la derecha y la ultraderecha alientan el asalto 👇🏻",2
145,la encuesta de prisa confirma algo que dicen todas las encuestas . sin catalunya y euskadi [ political_party ] y [ political_party ] podrían tener mayoría absoluta . es algo que la izquierda estatal debe asumir para construir sus alianzas 👇🏻,2
146,las víctimas de los abusos sexuales de religiosos que quedarán impunes tienen derecho a contar la verdad en el congreso 👇🏻,2
147,cuando un general que estuvo al mando de todos los ejércitos te deja con esta cara 👇🏻,2
148,la gente lo sabe… pero a él se la suda… no viaja a turquía…,2
149,"@ user ojo , también sé hacer paella , pero ni es el arroz que mejor me sale ni me parece que sea el mejor arroz posible…",2
150,"sara serrano , nuestra matemática , presentará datos muy interesantes sobre chile . manu levin analizará claves mediáticas comparadas entre chile y españa . en la mesa de análisis estará la analista chilena @ user y presentamos nueva sección con @ user al mando😇",2
151,"4 . creo que entender el periodismo como un árbitro imparcial que simplemente informa de los hechos , no ayuda a prevenir la mentira . lo que le han hecho a [ politician ] no solo ha degradado la política , sino también el periodismo . aquí el artículo completo 👇🏻 .",2
152,🍿 @ user nos habla de la manipulación mediática y la crisis del [ political_party ] a partir del análisis de “ la cortina de humo ” de barry levinson,2
153,"“ el desencuentro entre [ political_party ] , [ political_party ] y [ political_party ] [ en la reforma laboral ] ha sido malo para las tres formaciones y para los intereses que representan . ninguno de los tres ha ganado nada de los reproches cruzados ” . escribo en @ user 👇🏻 .",2
154,"que una directiva de elogie esta basura contra canal red me parece una falta de respeto , no ya a los lectores , sino al propio periodismo que se dice crítico e independiente . ya está bien",2
155,¿qué la derecha y la ultraderecha mienten en el congreso ? pues claro . creo que no hace falta una investigación periodística para verlo . el problema es otro . el problema es que solo repiten lo que dicen ciertos medios . y eso ya lo investigan y lo cuentan muchos menos periodistas👇🏻,2
156,de la izquierda cuqui a la raf… la pasti roja de la base se te subió demasiado ayer . te las mandaremos regularmente 😉,2
157,"con esto del tc hasta los que preferían a [ political_party ] antes que a podemos , están viendo las orejas al lobo y han cambiado ya su vocabulario . lo que es acatar , acatan pero hoy hablan de golpe , de insubordinación de los aparatos del estado y de derecha mediática y judicial 👇🏻",2
158,"“ medios y cloacas ” que ya va por la tercera edición , entre los libros de no ficción más leídos . no hace falta publicar en planeta ni con los grandes . gracias @ user",2
159,"tras el asesinato político de [ politician ] ¿es posible imaginar una derecha no alineada con [ political_party ] ? en @ user analizamos el comportamiento de las derechas política , judicial y económico-mediática para responder a la pregunta . con @ user y @ user . 18h",2
160,"a la hora de recibir , a los árabes no les falta detalle . la ceremonia oficial de bienvenida al [ hashtag ] está a punto de comenzar en el palacio real . periodistas corriendo ( como siempre ) para encontrar un hueco donde seguir la ceremonia .",1
161,aeropuerto de [ hashtag ] . todo preparado para despegar hacia [ hashtag ] en,1
162,"hoy la [ hashtag ] venía con “ sorpresa ” : breve actuación de los “ black blue brothers ” , un grupo de artistas de",1
163,¡bravissima ! . un premio más para una periodista que se “ mancha ” las suelas de los zapatos . enhorabuena @ user,1
164,"últimas horas del [ hashtag ] en la . encuentro con los obispos del país y después avión rumbo a [ hashtag ] . en marcha la caravana de periodistas con @ user , @ user , @ user , @ user , @ user y @ user",1
